Area,Sub Area,State,Pin code,Services for SDH
Anand Vihar,East Delhi,DELHI,110092,NO
Azad Nagar East Delhi,East Delhi,DELHI,110051,Yes
Badarpur Khadar,East Delhi,DELHI,110090,NO
Balbir Nagar,East Delhi,DELHI,110032,Yes
Bhola Nath Nagar,East Delhi,DELHI,110032,NO
Brahampuri,East Delhi,DELHI,110053,Yes
Chilla,East Delhi,DELHI,110091,NO
Dilshad Garden,East Delhi,DELHI,110095,Yes
Distt. Court KKD,East Delhi,DELHI,110032,Yes
G.T.B. Hospital,East Delhi,DELHI,110095,Yes
Gandhi Nagar Bazar,East Delhi,DELHI,110031,Yes
Gandhi Nagar East Delhi,East Delhi,DELHI,110031,Yes
Garhi Mandu,East Delhi,DELHI,110053,Yes
Geeta Colony,East Delhi,DELHI,110031,Yes
Ghazipur,East Delhi,DELHI,110096,NO
Ghonda,East Delhi,DELHI,110053,Yes
Gokal Puri,East Delhi,DELHI,110094,Yes
Goverdhan Bihari Colony,East Delhi,DELHI,110032,Yes
Govind Pura,East Delhi,DELHI,110051,NO
Harsh Vihar,East Delhi,DELHI,110093,Yes
Himmatpuri,East Delhi,DELHI,110091,NO
IP Extension,East Delhi,DELHI,110092,Yes
Jafrabad East Delhi,East Delhi,DELHI,110053,Yes
Jagjit Nagar,East Delhi,DELHI,110053,Yes
Jhilmil,East Delhi,DELHI,110095,Yes
Jhilmil Tahirpur,East Delhi,DELHI,110095,Yes
Johripur,East Delhi,DELHI,110094,NO
Kailash Nagar,East Delhi,DELHI,110031,Yes
Kalyanpuri,East Delhi,DELHI,110091,Yes
Kalyanvas,East Delhi,DELHI,110091,NO
Karawal Nagar,East Delhi,DELHI,110090,NO
Khazuri Khas,East Delhi,DELHI,110094,Yes
Krishna Nagar,East Delhi,DELHI,110051,Yes
Laxmi Nagar East Delhi,East Delhi,DELHI,110092,NO
Loni Road Housing Complex,East Delhi,DELHI,110093,NO
Loni Road,East Delhi,DELHI,110032,Yes
Man Sarovar Park,East Delhi,DELHI,110032,Yes
Mandawali Fazalpur,East Delhi,DELHI,110092,Yes
Maujpur,East Delhi,DELHI,110053,Yes
Mayur Vihar Ph I,East Delhi,DELHI,110091,NO
Mayur Vihar Ph III,East Delhi,DELHI,110096,NO
"Nand Nagri ""A""",East Delhi,DELHI,110093,Yes
"Nand Nagri ""C""",East Delhi,DELHI,110093,Yes
New Seemapuri,East Delhi,DELHI,110095,Yes
New Usmanpur,East Delhi,DELHI,110053,Yes
Nirman Vihar,East Delhi,DELHI,110092,NO
Old Seemapuri,East Delhi,DELHI,110095,Yes
Patparganj,East Delhi,DELHI,110091,Yes
Raghubar Pura,East Delhi,DELHI,110031,NO
Rajgarh Colony,East Delhi,DELHI,110031,Yes
Ram Nagar East Delhi,East Delhi,DELHI,110051,Yes
Rohtash Nagar,East Delhi,DELHI,110032,Yes
Seelampur,East Delhi,DELHI,110053,Yes
Shahdara Mandi,East Delhi,DELHI,110032,Yes
Shahdara,East Delhi,DELHI,110032,Yes
Shakarpur,East Delhi,DELHI,110092,Yes
Shastri Nagar East Delhi,East Delhi,DELHI,110031,NO
Shivaji Park East Delhi,East Delhi,DELHI,110032,Yes
Sonia Vihar,East Delhi,DELHI,110090,NO
Surajmal Vihar,East Delhi,DELHI,110092,NO
Telewara,East Delhi,DELHI,110032,Yes
Trilok Puri,East Delhi,DELHI,110091,NO
V.K. Nagar,East Delhi,DELHI,110095,Yes
Vasundhra Enclave,East Delhi,DELHI,110096,NO
Vishwas Nagar,East Delhi,DELHI,110032,Yes
Vivek Vihar,East Delhi,DELHI,110095,NO
Yamuna Vihar,East Delhi,DELHI,110053,Yes
Yozna Vihar,East Delhi,DELHI,110092,NO
Babarpur,North EastDelhi,DELHI,110032,Yes
Bhajanpura,North EastDelhi,DELHI,110053,Yes
Dayal Pur,North EastDelhi,DELHI,110094,Yes
Mandoli,North EastDelhi,DELHI,110093,Yes
Shaheed Bhagat Singh Colony,North EastDelhi,DELHI,110090,NO
Shri Ram Colony Rajiv nagar,North EastDelhi,DELHI,110090,Yes
Sunder Nagari,North EastDelhi,DELHI,110093,Yes
Housing Complex Loni Road,North EastDelhi,DELHI,110093,NO
Khajoori Khas,North EastDelhi,DELHI,110090,Yes
Vishwakarma nagar,North EastDelhi,DELHI,110095,Yes
munirka,South Delhi,DELHI,110067,Yes
vasant vihar,South Delhi,DELHI,110057,Yes
RK Puram,South Delhi,DELHI,110022,Yes
Kalkaji,South Delhi,DELHI,110019,Yes
Govindpuri,South Delhi,DELHI,110019,Yes
Shaheen Bagh,South Delhi,DELHI,110025,Yes
Okhla,South Delhi,DELHI,110025,Yes
Abufazal,South Delhi,DELHI,110025,Yes
Jamia Nagar,South Delhi,DELHI,110025,Yes
punjabi bagh,West Delhi,DELHI,110026,Yes
Vishnu garden,West Delhi,DELHI,110018,Yes
Sadar Bazar,West Delhi,DELHI,110006,Yes
Paharganj,West Delhi,DELHI,110055,Yes
Karol Bagh,West Delhi,DELHI,110005,Yes
Vasundhra,Ghaziabad,Uttar Pradesh,201012,Yes
Kaushambi,Ghaziabad,Uttar Pradesh,201012,Yes
Indirapuram,Ghaziabad,Uttar Pradesh,201010,Yes
Vijay Nagar,Ghaziabad,Uttar Pradesh,201009,Yes
Sahibabad,Ghaziabad,Uttar Pradesh,201005,Yes
